Where papers came from,Papers,Paper_Name_Short,Was the landscape surrounding each field quantitatively measured at a spatial scale ? 500 m around the crop? (yes or no),Does the study consist of at least five crop fields that are at least 1 km apart from each other (yes or no),Are statistics reported as the univariate (or partial contribution) relationship between landscape composition and vector or vector-borne pathogen response? (yes or no),Was the vector-borne pathogen data collected from the crop?,Include for meta-analysis? (yes or no),"Location (state, country, region). List which one is provided",Croppping system,vector_or_pathogen_mod,"Vector or pathogen group (e.g.,  aphid, virus)",measurement of vector or pathogen (be consistent in naming),measurement_mod,"Grouping or individual vectors or pathogens used for analysis (list species if individual, provide description of group if grouped)",Specialist or generalist,Specialist_generalist_both_mod,Landscape category (original),Landscape_category_mod,Additonal information (not already listed) on why mutiple values (rows) are reported for the same spatial scale and landscape feature,Mode_of_pathogen_transmission,Spatial_scale_m_mod,Source in paper,Sample_size,P value,P_value_adj_1,Test statistic (type),Test statistic (raw),Test statisitc (raw sign edited for analysis),t_z_f_x2,r,AIC,Make note if the relationship was posititve (1) or negative (-1) (for future analysis/conversion),yi_from_ti_ri_pi_1,vi_from_ti_ri_pi_1
WOS or BASE,"Clemente-Orta, G., R. Albajes, I. Batuecas, and M. A. Achon. 2021. Planting period is the main factor for controlling maize rough dwarf disease. Sci. Rep. 11.",Clemente_Orta_et_al_2021,yes,yes,yes,yes,yes,Spain,"alfalfa felds, maize felds and orchards",pathogen,virus,incidence (one collection each year - ELISA),incidence,Maize rough dwarf virus (MRDV),specialist,specialist,non-crop,Non-crop,,persistent,500,fig 1,46,> 0.05,1,,,,,,,not specified,0,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, I. Batuecas, and M. A. Achon. 2021. Planting period is the main factor for controlling maize rough dwarf disease. Sci. Rep. 11.",Clemente_Orta_et_al_2021,yes,yes,yes,yes,yes,Spain,"alfalfa felds, maize felds and orchards",pathogen,virus,incidence (one collection each year - ELISA),incidence,Maize rough dwarf virus (MRDV),specialist,specialist,maize,Crop,,persistent,500,fig 1,46,> 0.05,1,,,,,,,not specified,0,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, I. Batuecas, and M. A. Achon. 2021. Planting period is the main factor for controlling maize rough dwarf disease. Sci. Rep. 11.",Clemente_Orta_et_al_2021,yes,yes,yes,yes,yes,Spain,"alfalfa felds, maize felds and orchards",pathogen,virus,incidence (one collection each year - ELISA),incidence,Maize rough dwarf virus (MRDV),specialist,specialist,orchard,Crop,,persistent,500,fig 1,46,> 0.05,1,,,,,,,not specified,0,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, I. Batuecas, and M. A. Achon. 2021. Planting period is the main factor for controlling maize rough dwarf disease. Sci. Rep. 11.",Clemente_Orta_et_al_2021,yes,yes,yes,yes,yes,Spain,"alfalfa felds, maize felds and orchards",pathogen,virus,incidence (one collection each year - ELISA),incidence,Maize rough dwarf virus (MRDV),specialist,specialist,alfalfa,Crop,,persistent,500,fig 1,46,> 0.05,1,,,,,,,not specified,0,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, I. Batuecas, and M. A. Achon. 2021. Planting period is the main factor for controlling maize rough dwarf disease. Sci. Rep. 11.",Clemente_Orta_et_al_2021,yes,yes,yes,yes,yes,Spain,"alfalfa felds, maize felds and orchards",pathogen,virus,incidence (one collection each year - ELISA),incidence,Maize rough dwarf virus (MRDV),specialist,specialist,edges,Natural habitat,,persistent,500,fig 1,46,< 0.05,0.05,,,,,,,-1,0.299337758,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, I. Batuecas, and M. A. Achon. 2021. Planting period is the main factor for controlling maize rough dwarf disease. Sci. Rep. 11.",Clemente_Orta_et_al_2021,yes,yes,yes,yes,yes,Spain,"alfalfa felds, maize felds and orchards",pathogen,virus,incidence (one collection each year - ELISA),incidence,Maize rough dwarf virus (MRDV),specialist,specialist,orchards,Crop,,persistent,500,fig 1,46,< 0.05,0.05,,,,,,,1,0.299337758,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, I. Batuecas, and M. A. Achon. 2021. Planting period is the main factor for controlling maize rough dwarf disease. Sci. Rep. 11.",Clemente_Orta_et_al_2021,yes,yes,yes,yes,yes,Spain,"alfalfa felds, maize felds and orchards",pathogen,virus,incidence (one collection each year - ELISA),incidence,Maize rough dwarf virus (MRDV),specialist,specialist,non-crop,Non-crop,,persistent,500,fig 1,46,> 0.05,1,,,,,,,not specified,0,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, I. Batuecas, and M. A. Achon. 2021. Planting period is the main factor for controlling maize rough dwarf disease. Sci. Rep. 11.",Clemente_Orta_et_al_2021,yes,yes,yes,yes,yes,Spain,"alfalfa felds, maize felds and orchards",pathogen,virus,incidence (one collection each year - ELISA),incidence,Maize rough dwarf virus (MRDV),specialist,specialist,winter fallow,Non-crop,,persistent,500,fig 1,46,< 0.05,0.05,,,,,,,1,0.299337758,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, I. Batuecas, and M. A. Achon. 2021. Planting period is the main factor for controlling maize rough dwarf disease. Sci. Rep. 11.",Clemente_Orta_et_al_2021,yes,yes,yes,yes,yes,Spain,"alfalfa felds, maize felds and orchards",pathogen,virus,incidence (one collection each year - ELISA),incidence,Maize rough dwarf virus (MRDV),specialist,specialist,maize,Crop,,persistent,500,fig 1,46,> 0.05,1,,,,,,,not specified,0,0.023255814
WOS or BASE,"Clemente-Orta, G., R. Albajes, I. Batuecas, and M. A. Achon. 2021. Planting period is the main factor for controlling maize rough dwarf disease. Sci. Rep. 11.",Clemente_Orta_et_al_2021,yes,yes,yes,yes,yes,Spain,"alfalfa felds, maize felds and orchards",pathogen,virus,incidence (one collection each year - ELISA),incidence,Maize rough dwarf virus (MRDV),specialist,specialist,alfalfa,Crop,,persistent,500,fig 1,46,> 0.05,1,,,,,,,not specified,0,0.023255814
WOS or BASE,"Grilli, M. P., and M. Bruno. 2007. Regional abundance of a planthopper pest: the effect of host patch area and configuration. Entomol. Exp. Appl. 122: 133–143.",Grilli_and_Bruno_2007,yes,yes,yes,NA,yes,Argentina,corn,vector,planthopper,abundance,abundance,Delphacodes kuscheli,specialist,specialist,habitat patch (winter pastures),Crop,,,5000,fig 3,15,< 0.001,0.001,r,0.88,0.88,,0.88,,1,1.375767657,0.083333333
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,sillage maize,Crop,Autumn,,1000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grain maize,Crop,Autumn,,1000,table 3,124,> 0.05,1,,,,,,,1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grassland,Natural habitat,Autumn,,1000,table 3,124,< 0.05,0.05,,,,,,,-1,0.17827867,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,small grain cereals,Crop,Autumn,,1000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,sillage maize,Crop,Autumn,,3000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grain maize,Crop,Autumn,,3000,table 3,124,< 0.05,0.05,,,,,,,1,0.17827867,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grassland,Natural habitat,Autumn,,3000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,small grain cereals,Crop,Autumn,,3000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,sillage maize,Crop,Autumn,,5000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grain maize,Crop,Autumn,,5000,table 3,124,> 0.05,1,,,,,,,1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grassland,Natural habitat,Autumn,,5000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,small grain cereals,Crop,Autumn,,5000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,sillage maize,Crop,Spring,,1000,table 3,124,> 0.05,1,,,,,,,1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grain maize,Crop,Spring,,1000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grassland,Natural habitat,Spring,,1000,table 3,124,> 0.05,1,,,,,,,1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,small grain cereals,Crop,Spring,,1000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,sillage maize,Crop,Spring,,3000,table 3,124,> 0.05,1,,,,,,,1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grain maize,Crop,Spring,,3000,table 3,124,> 0.05,1,,,,,,,1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grassland,Natural habitat,Spring,,3000,table 3,124,> 0.05,1,,,,,,,1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,small grain cereals,Crop,Spring,,3000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,sillage maize,Crop,Spring,,5000,table 3,124,> 0.05,1,,,,,,,1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grain maize,Crop,Spring,,5000,table 3,124,> 0.05,1,,,,,,,1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grassland,Natural habitat,Spring,,5000,table 3,124,> 0.05,1,,,,,,,1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,small grain cereals,Crop,Spring,,5000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,sillage maize,Crop,Total,,1000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grain maize,Crop,Total,,1000,table 3,124,> 0.05,1,,,,,,,1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grassland,Natural habitat,Total,,1000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,small grain cereals,Crop,Total,,1000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,sillage maize,Crop,Total,,3000,table 3,124,> 0.05,1,,,,,,,1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grain maize,Crop,Total,,3000,table 3,124,< 0.05,0.05,,,,,,,1,0.17827867,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grassland,Natural habitat,Total,,3000,table 3,124,> 0.05,1,,,,,,,-1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,small grain cereals,Crop,Total,,3000,table 3,124,< 0.05,0.05,,,,,,,-1,0.17827867,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,sillage maize,Crop,Total,,5000,table 3,124,> 0.05,1,,,,,,,1,0,0.008264463
